run_id	step	loss
breakout_1656253812_89b07dc8	805	0.49761775112710893
breakout_1656253812_89b07dc8	808	0.45069120882544667
breakout_1656253812_89b07dc8	810	0.6843223846517503
breakout_1656253812_89b07dc8	813	0.40757906914222986
breakout_1656253812_89b07dc8	815	0.41639689775183797
breakout_1656253812_89b07dc8	818	0.40855084569193423
breakout_1656253812_89b07dc8	820	0.621769402641803
breakout_1656253812_89b07dc8	823	0.427180583588779
breakout_1656253812_89b07dc8	825	0.4589361463440582
breakout_1656253812_89b07dc8	828	0.5070760276867077
breakout_1656253812_89b07dc8	830	0.35752670152578503
breakout_1656253812_89b07dc8	833	0.25722584198229015
breakout_1656253812_89b07dc8	836	0.3203708460787311
breakout_1656253812_89b07dc8	838	0.43403297453187406
breakout_1656253812_89b07dc8	841	0.3281061052111909
breakout_1656253812_89b07dc8	843	0.37883934495039284
breakout_1656253812_89b07dc8	846	0.39325969154015183
breakout_1656253812_89b07dc8	848	0.732654562452808
breakout_1656253812_89b07dc8	851	0.28035719715990126
breakout_1656253812_89b07dc8	853	0.4977683052420616
breakout_1656253812_89b07dc8	856	0.6088095873128623
breakout_1656253812_89b07dc8	858	0.5212480020709336
breakout_1656253812_89b07dc8	861	0.40972546918783337
breakout_1656253812_89b07dc8	863	0.3906966205686331
breakout_1656253812_89b07dc8	866	0.48438836447894573
breakout_1656253812_89b07dc8	868	0.4044036684790626
breakout_1656253812_89b07dc8	871	0.4332531167892739
breakout_1656253812_89b07dc8	874	0.408386672148481
breakout_1656253812_89b07dc8	876	0.595166732207872
breakout_1656253812_89b07dc8	879	0.5402508410043083
breakout_1656253812_89b07dc8	881	0.5583968895953149
breakout_1656253812_89b07dc8	884	0.4817110487492755
breakout_1656253812_89b07dc8	886	0.5212591041927226
breakout_1656253812_89b07dc8	889	0.5386123828357086
breakout_1656253812_89b07dc8	891	0.40282599115744233
breakout_1656253812_89b07dc8	894	0.41544859344139695
breakout_1656253812_89b07dc8	896	0.3945747814141214
breakout_1656253812_89b07dc8	899	0.3823132006218657
breakout_1656253812_89b07dc8	901	0.2905803178437054
breakout_1656253812_89b07dc8	904	0.49642295751255006
breakout_1656253812_89b07dc8	907	0.4884421069873497
breakout_1656253812_89b07dc8	909	0.44953708886168897
breakout_1656253812_89b07dc8	912	0.34332925674971193
breakout_1656253812_89b07dc8	914	0.31556650320999324
breakout_1656253812_89b07dc8	917	0.4782347374712117
breakout_1656253812_89b07dc8	919	0.3682461017742753
breakout_1656253812_89b07dc8	922	0.2718448129016906
