run_id	step	reward
breakout_1656253812_89b07dc8	782	2
breakout_1656253812_89b07dc8	785	5
breakout_1656253812_89b07dc8	787	4
breakout_1656253812_89b07dc8	790	7
breakout_1656253812_89b07dc8	792	3
breakout_1656253812_89b07dc8	795	4
breakout_1656253812_89b07dc8	797	3
breakout_1656253812_89b07dc8	800	8
breakout_1656253812_89b07dc8	803	3
breakout_1656253812_89b07dc8	805	7
breakout_1656253812_89b07dc8	808	4
breakout_1656253812_89b07dc8	810	3
breakout_1656253812_89b07dc8	813	4
breakout_1656253812_89b07dc8	815	4
breakout_1656253812_89b07dc8	818	3
breakout_1656253812_89b07dc8	820	6
breakout_1656253812_89b07dc8	823	9
breakout_1656253812_89b07dc8	825	4
breakout_1656253812_89b07dc8	828	3
breakout_1656253812_89b07dc8	830	3
breakout_1656253812_89b07dc8	833	5
breakout_1656253812_89b07dc8	836	6
breakout_1656253812_89b07dc8	838	5
breakout_1656253812_89b07dc8	841	3
breakout_1656253812_89b07dc8	843	6
breakout_1656253812_89b07dc8	846	2
breakout_1656253812_89b07dc8	848	4
breakout_1656253812_89b07dc8	851	4
breakout_1656253812_89b07dc8	853	8
breakout_1656253812_89b07dc8	856	8
breakout_1656253812_89b07dc8	858	3
breakout_1656253812_89b07dc8	861	5
breakout_1656253812_89b07dc8	863	10
breakout_1656253812_89b07dc8	866	5
breakout_1656253812_89b07dc8	868	5
breakout_1656253812_89b07dc8	871	5
breakout_1656253812_89b07dc8	874	6
breakout_1656253812_89b07dc8	876	6
breakout_1656253812_89b07dc8	879	2
breakout_1656253812_89b07dc8	881	10
breakout_1656253812_89b07dc8	884	10
breakout_1656253812_89b07dc8	886	5
breakout_1656253812_89b07dc8	889	3
breakout_1656253812_89b07dc8	891	3
breakout_1656253812_89b07dc8	894	6
breakout_1656253812_89b07dc8	896	9
breakout_1656253812_89b07dc8	899	3
breakout_1656253812_89b07dc8	901	5
breakout_1656253812_89b07dc8	904	6
breakout_1656253812_89b07dc8	907	5
breakout_1656253812_89b07dc8	909	9
breakout_1656253812_89b07dc8	912	5
breakout_1656253812_89b07dc8	914	3
breakout_1656253812_89b07dc8	917	4
breakout_1656253812_89b07dc8	919	6
breakout_1656253812_89b07dc8	922	7
breakout_1656253812_89b07dc8	924	6
breakout_1656253812_89b07dc8	927	3
breakout_1656253812_89b07dc8	929	6
breakout_1656253812_89b07dc8	932	4
breakout_1656253812_89b07dc8	934	7
breakout_1656253812_89b07dc8	937	5
breakout_1656253812_89b07dc8	940	3
breakout_1656253812_89b07dc8	942	2
breakout_1656253812_89b07dc8	945	9
breakout_1656253812_89b07dc8	947	5
breakout_1656253812_89b07dc8	950	4
breakout_1656253812_89b07dc8	952	6
breakout_1656253812_89b07dc8	955	11
breakout_1656253812_89b07dc8	957	5
breakout_1656253812_89b07dc8	960	6
breakout_1656253812_89b07dc8	962	2
breakout_1656253812_89b07dc8	965	5
breakout_1656253812_89b07dc8	967	3
breakout_1656253812_89b07dc8	970	5
breakout_1656253812_89b07dc8	973	7
breakout_1656253812_89b07dc8	975	4
breakout_1656253812_89b07dc8	978	6
breakout_1656253812_89b07dc8	980	6
breakout_1656253812_89b07dc8	983	7
breakout_1656253812_89b07dc8	985	11
breakout_1656253812_89b07dc8	988	5
breakout_1656253812_89b07dc8	990	7
breakout_1656253812_89b07dc8	993	6
breakout_1656253812_89b07dc8	995	5
breakout_1656253812_89b07dc8	998	3
breakout_1656253812_89b07dc8	1000	2
breakout_1656253812_89b07dc8	1003	3
breakout_1656253812_89b07dc8	1006	4
breakout_1656253812_89b07dc8	1008	3
breakout_1656253812_89b07dc8	1011	9
breakout_1656253812_89b07dc8	1013	4
breakout_1656253812_89b07dc8	1016	4
breakout_1656253812_89b07dc8	1018	3
breakout_1656253812_89b07dc8	1021	3
breakout_1656253812_89b07dc8	1023	4
breakout_1656253812_89b07dc8	1026	5
breakout_1656253812_89b07dc8	1028	8
breakout_1656253812_89b07dc8	1031	5
breakout_1656253812_89b07dc8	1033	8
breakout_1656253812_89b07dc8	1036	3
breakout_1656253812_89b07dc8	1039	8
breakout_1656253812_89b07dc8	1041	5
breakout_1656253812_89b07dc8	1044	6
breakout_1656253812_89b07dc8	1046	2
breakout_1656253812_89b07dc8	1049	4
breakout_1656253812_89b07dc8	1051	2
breakout_1656253812_89b07dc8	1054	7
breakout_1656253812_89b07dc8	1056	4
breakout_1656253812_89b07dc8	1059	6
