run_id	step	reward_sma
breakout_1656253812_89b07dc8	731	4.1
breakout_1656253812_89b07dc8	733	4.04
breakout_1656253812_89b07dc8	736	4.15
breakout_1656253812_89b07dc8	739	4.17
breakout_1656253812_89b07dc8	741	4.19
breakout_1656253812_89b07dc8	744	4.18
breakout_1656253812_89b07dc8	747	4.22
breakout_1656253812_89b07dc8	749	4.32
breakout_1656253812_89b07dc8	752	4.28
breakout_1656253812_89b07dc8	755	4.28
breakout_1656253812_89b07dc8	757	4.27
breakout_1656253812_89b07dc8	760	4.27
breakout_1656253812_89b07dc8	763	4.31
breakout_1656253812_89b07dc8	765	4.34
breakout_1656253812_89b07dc8	768	4.44
breakout_1656253812_89b07dc8	771	4.45
breakout_1656253812_89b07dc8	773	4.42
breakout_1656253812_89b07dc8	776	4.44
breakout_1656253812_89b07dc8	779	4.4
breakout_1656253812_89b07dc8	781	4.41
breakout_1656253812_89b07dc8	784	4.5
breakout_1656253812_89b07dc8	787	4.36
breakout_1656253812_89b07dc8	789	4.36
breakout_1656253812_89b07dc8	792	4.35
breakout_1656253812_89b07dc8	795	4.34
breakout_1656253812_89b07dc8	797	4.32
breakout_1656253812_89b07dc8	800	4.35
breakout_1656253812_89b07dc8	803	4.38
breakout_1656253812_89b07dc8	805	4.41
breakout_1656253812_89b07dc8	808	4.46
breakout_1656253812_89b07dc8	811	4.46
breakout_1656253812_89b07dc8	813	4.48
breakout_1656253812_89b07dc8	816	4.48
breakout_1656253812_89b07dc8	819	4.46
breakout_1656253812_89b07dc8	821	4.46
breakout_1656253812_89b07dc8	824	4.52
breakout_1656253812_89b07dc8	827	4.57
breakout_1656253812_89b07dc8	829	4.56
breakout_1656253812_89b07dc8	832	4.44
breakout_1656253812_89b07dc8	835	4.63
breakout_1656253812_89b07dc8	837	4.6
breakout_1656253812_89b07dc8	840	4.62
breakout_1656253812_89b07dc8	843	4.6
breakout_1656253812_89b07dc8	845	4.59
breakout_1656253812_89b07dc8	848	4.64
breakout_1656253812_89b07dc8	851	4.62
breakout_1656253812_89b07dc8	853	4.61
breakout_1656253812_89b07dc8	856	4.62
breakout_1656253812_89b07dc8	859	4.7
breakout_1656253812_89b07dc8	861	4.73
breakout_1656253812_89b07dc8	864	4.75
breakout_1656253812_89b07dc8	867	4.77
breakout_1656253812_89b07dc8	869	4.8
breakout_1656253812_89b07dc8	872	4.81
breakout_1656253812_89b07dc8	875	4.74
breakout_1656253812_89b07dc8	877	4.75
breakout_1656253812_89b07dc8	880	4.81
breakout_1656253812_89b07dc8	883	4.94
breakout_1656253812_89b07dc8	885	4.92
breakout_1656253812_89b07dc8	888	4.92
breakout_1656253812_89b07dc8	891	5.07
breakout_1656253812_89b07dc8	893	5.11
breakout_1656253812_89b07dc8	896	5.11
breakout_1656253812_89b07dc8	899	5.11
breakout_1656253812_89b07dc8	901	5.12
breakout_1656253812_89b07dc8	904	5.13
breakout_1656253812_89b07dc8	907	5.13
breakout_1656253812_89b07dc8	909	5.13
breakout_1656253812_89b07dc8	912	5.12
breakout_1656253812_89b07dc8	915	5.14
breakout_1656253812_89b07dc8	917	5.11
breakout_1656253812_89b07dc8	920	5.1
breakout_1656253812_89b07dc8	923	5.12
breakout_1656253812_89b07dc8	925	5.08
breakout_1656253812_89b07dc8	928	5.06
breakout_1656253812_89b07dc8	931	5.15
breakout_1656253812_89b07dc8	933	5.14
breakout_1656253812_89b07dc8	936	5.18
breakout_1656253812_89b07dc8	939	5.14
breakout_1656253812_89b07dc8	941	5.12
breakout_1656253812_89b07dc8	944	5.11
breakout_1656253812_89b07dc8	947	5.11
breakout_1656253812_89b07dc8	949	5.1
breakout_1656253812_89b07dc8	952	5.02
breakout_1656253812_89b07dc8	955	4.94
breakout_1656253812_89b07dc8	957	4.92
breakout_1656253812_89b07dc8	960	4.87
breakout_1656253812_89b07dc8	963	4.86
breakout_1656253812_89b07dc8	965	4.81
