run_id	step	avg_max_q
breakout_1656253812_89b07dc8	810	2.2944432526826857
breakout_1656253812_89b07dc8	813	2.2536211407409525
breakout_1656253812_89b07dc8	815	2.1902376703484348
breakout_1656253812_89b07dc8	818	2.1949469435214994
breakout_1656253812_89b07dc8	820	2.171638244142135
breakout_1656253812_89b07dc8	823	2.2614967340833685
breakout_1656253812_89b07dc8	825	2.4135662766925075
breakout_1656253812_89b07dc8	828	2.2811061765208387
breakout_1656253812_89b07dc8	830	2.137503504753113
breakout_1656253812_89b07dc8	833	2.32311927255734
breakout_1656253812_89b07dc8	836	2.1487900573913365
breakout_1656253812_89b07dc8	838	2.2113986685256326
breakout_1656253812_89b07dc8	841	2.2564067336229177
breakout_1656253812_89b07dc8	843	2.196121339528066
breakout_1656253812_89b07dc8	846	2.26043323647808
breakout_1656253812_89b07dc8	848	2.2161552140587255
breakout_1656253812_89b07dc8	851	2.1926748037338255
breakout_1656253812_89b07dc8	853	2.2611692743301393
breakout_1656253812_89b07dc8	856	2.31659722839083
breakout_1656253812_89b07dc8	858	2.354922090366388
breakout_1656253812_89b07dc8	861	2.3209827645071623
breakout_1656253812_89b07dc8	863	2.208328349874654
breakout_1656253812_89b07dc8	866	2.202663866859494
breakout_1656253812_89b07dc8	868	2.213820586476145
breakout_1656253812_89b07dc8	871	2.113622175413987
breakout_1656253812_89b07dc8	874	2.2128682697056146
breakout_1656253812_89b07dc8	876	2.3353525884858857
breakout_1656253812_89b07dc8	879	2.224243662025355
breakout_1656253812_89b07dc8	881	2.270496134822433
breakout_1656253812_89b07dc8	884	2.3180529338504194
breakout_1656253812_89b07dc8	886	2.282586203046041
breakout_1656253812_89b07dc8	889	2.20289811358523
breakout_1656253812_89b07dc8	891	2.3519148487078994
breakout_1656253812_89b07dc8	894	2.2814694118143906
breakout_1656253812_89b07dc8	896	2.2834789814093175
breakout_1656253812_89b07dc8	899	2.3982186714808145
breakout_1656253812_89b07dc8	901	2.3848068777551044
breakout_1656253812_89b07dc8	904	2.380456305401666
breakout_1656253812_89b07dc8	907	2.3563942795389154
breakout_1656253812_89b07dc8	909	2.2419347763061523
breakout_1656253812_89b07dc8	912	2.252713643986246
breakout_1656253812_89b07dc8	914	2.2989074567953747
breakout_1656253812_89b07dc8	917	2.1996432657425222
breakout_1656253812_89b07dc8	919	2.2797433343089994
breakout_1656253812_89b07dc8	922	2.278633579692325
breakout_1656253812_89b07dc8	924	2.355448025748843
breakout_1656253812_89b07dc8	927	2.429544081290563
breakout_1656253812_89b07dc8	929	2.2684594919015697
breakout_1656253812_89b07dc8	932	2.361983514924086
breakout_1656253812_89b07dc8	934	2.1794674505790073
breakout_1656253812_89b07dc8	937	2.307549822898138
breakout_1656253812_89b07dc8	940	2.3747375654795815
breakout_1656253812_89b07dc8	942	2.3988714254434944
breakout_1656253812_89b07dc8	945	2.5388909744310983
breakout_1656253812_89b07dc8	947	2.493895724415779
breakout_1656253812_89b07dc8	950	2.498201128486153
breakout_1656253812_89b07dc8	952	2.6570842411067033
breakout_1656253812_89b07dc8	955	2.522120599210615
breakout_1656253812_89b07dc8	957	2.358397362422358
breakout_1656253812_89b07dc8	960	2.590895813674175
breakout_1656253812_89b07dc8	962	2.4993147150092168
breakout_1656253812_89b07dc8	965	2.564008748674967
breakout_1656253812_89b07dc8	967	2.658028992868605
breakout_1656253812_89b07dc8	970	2.4748134150224574
breakout_1656253812_89b07dc8	973	2.6836577746775245
breakout_1656253812_89b07dc8	975	2.5535568288143944
breakout_1656253812_89b07dc8	978	2.649620786751851
breakout_1656253812_89b07dc8	980	2.6109688984813975
breakout_1656253812_89b07dc8	983	2.525557284113727
breakout_1656253812_89b07dc8	985	2.6051069748501816
breakout_1656253812_89b07dc8	988	2.557489905549192
breakout_1656253812_89b07dc8	990	2.5761090149783126
breakout_1656253812_89b07dc8	993	2.6892746180295943
breakout_1656253812_89b07dc8	995	2.553341964116463
breakout_1656253812_89b07dc8	998	2.390649506023952
breakout_1656253812_89b07dc8	1000	2.4837643732763315
breakout_1656253812_89b07dc8	1003	2.53449905028037
breakout_1656253812_89b07dc8	1006	2.562614330729923
breakout_1656253812_89b07dc8	1008	2.4957856818249353
breakout_1656253812_89b07dc8	1011	2.502636900629316
breakout_1656253812_89b07dc8	1013	2.46851893166701
breakout_1656253812_89b07dc8	1016	2.48306080753153
breakout_1656253812_89b07dc8	1018	2.543305639010757
breakout_1656253812_89b07dc8	1021	2.3967019008086607
breakout_1656253812_89b07dc8	1023	2.498657926835649
breakout_1656253812_89b07dc8	1026	2.5561706411077623
breakout_1656253812_89b07dc8	1028	2.560751910507679
breakout_1656253812_89b07dc8	1031	2.3940876183302504
breakout_1656253812_89b07dc8	1033	2.591104681172022
breakout_1656253812_89b07dc8	1036	2.5362880766076388
breakout_1656253812_89b07dc8	1039	2.403887243721429
breakout_1656253812_89b07dc8	1041	2.5813217468559744
breakout_1656253812_89b07dc8	1044	2.4264498737370856
breakout_1656253812_89b07dc8	1046	2.442051882897654
breakout_1656253812_89b07dc8	1049	2.55891993346515
breakout_1656253812_89b07dc8	1051	2.4866147194153223
breakout_1656253812_89b07dc8	1054	2.5629205855112227
breakout_1656253812_89b07dc8	1056	2.5011782764403288
breakout_1656253812_89b07dc8	1059	2.5857428218379166
breakout_1656253812_89b07dc8	1061	2.538995525572035
breakout_1656253812_89b07dc8	1064	2.623854459921519
breakout_1656253812_89b07dc8	1066	2.538154707900409
breakout_1656253812_89b07dc8	1069	2.4627941581938
breakout_1656253812_89b07dc8	1072	2.434526435188625
breakout_1656253812_89b07dc8	1074	2.559585414119273
breakout_1656253812_89b07dc8	1077	2.520771330209087
breakout_1656253812_89b07dc8	1079	2.6171779802867343
breakout_1656253812_89b07dc8	1082	2.4317469171775405
breakout_1656253812_89b07dc8	1084	2.560607114114052
breakout_1656253812_89b07dc8	1087	2.362825436313657
breakout_1656253812_89b07dc8	1089	2.718279481919344
breakout_1656253812_89b07dc8	1092	2.572369027377373
breakout_1656253812_89b07dc8	1094	2.7612120711034343
breakout_1656253812_89b07dc8	1097	2.587292839245624
breakout_1656253812_89b07dc8	1099	2.7416772435108823
breakout_1656253812_89b07dc8	1102	2.6642149874001495
breakout_1656253812_89b07dc8	1105	2.599975050840163
breakout_1656253812_89b07dc8	1107	2.6199166343567217
breakout_1656253812_89b07dc8	1110	2.724477159452962
breakout_1656253812_89b07dc8	1112	2.7061255627763487
breakout_1656253812_89b07dc8	1115	2.636201410758786
breakout_1656253812_89b07dc8	1117	2.7610299871813866
breakout_1656253812_89b07dc8	1120	2.766778263668556
breakout_1656253812_89b07dc8	1122	2.7994746935199686
breakout_1656253812_89b07dc8	1125	2.7744052700635766
breakout_1656253812_89b07dc8	1127	2.8148477652243207
breakout_1656253812_89b07dc8	1130	2.6430261449185672
breakout_1656253812_89b07dc8	1132	2.6770599954496554
breakout_1656253812_89b07dc8	1135	2.6069741598645546
breakout_1656253812_89b07dc8	1138	2.8362959989330223
breakout_1656253812_89b07dc8	1140	2.556304009370906
breakout_1656253812_89b07dc8	1143	2.731903850204415
breakout_1656253812_89b07dc8	1145	2.7961688219611323
breakout_1656253812_89b07dc8	1148	2.732899250090122
breakout_1656253812_89b07dc8	1150	2.7127619354348433
breakout_1656253812_89b07dc8	1153	2.7303082873351383
breakout_1656253812_89b07dc8	1155	2.8346910038772895
breakout_1656253812_89b07dc8	1158	2.6066217058234744
breakout_1656253812_89b07dc8	1160	2.750893175972174
breakout_1656253812_89b07dc8	1163	2.670395544822642
breakout_1656253812_89b07dc8	1165	2.7430375613361955
breakout_1656253812_89b07dc8	1168	2.6105698806898934
breakout_1656253812_89b07dc8	1171	2.5891794458031656
breakout_1656253812_89b07dc8	1173	2.478804632811479
breakout_1656253812_89b07dc8	1176	2.705984228346721
breakout_1656253812_89b07dc8	1178	2.6977964697612657
breakout_1656253812_89b07dc8	1181	2.6262277096844793
breakout_1656253812_89b07dc8	1183	2.8333869151819764
breakout_1656253812_89b07dc8	1186	2.814535746262187
breakout_1656253812_89b07dc8	1188	2.704254756302669
breakout_1656253812_89b07dc8	1191	2.897434745516096
breakout_1656253812_89b07dc8	1193	2.6459875955581666
breakout_1656253812_89b07dc8	1196	2.912084008826584
breakout_1656253812_89b07dc8	1198	2.854492348821267
breakout_1656253812_89b07dc8	1201	2.895333560646003
breakout_1656253812_89b07dc8	1204	2.7896496622548628
